Kodu,Parfüm Adı,Cinsiyet,Esans,Alkol,Toplam Stok,Fiyat MG/$/KG,Fiyat TL/50 GR,bas_notalar,kalp_notalar,dip_notalar,mevsim,gunun_zamani,ortam,kiyafet_stili,koku_ailesi,koku_yogunlugu,duygusal_etiketler,aciklama_tr
C -200,Costume National - Scent İntense,Erkek,,,200.0,?,,"Bergamot, Limon, Biber","Lavanta, Adaçayı, Tarhun","Vetiver, Misk, Paçuli","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Sportif","Aromatik,Taze",Orta,"enerjik,ferah,canlandırıcı","Scent İntense, taze ve aromatik notalarıyla dinamik erkekler için ideal bir gündüz parfümüdür."
C-210,Creed - Absolu Aventus,Erkek,,,0.0,185,,"Ananas, Siyah Frenk Üzümü, Bergamot","Paçuli, Yasemin, Meşe yosunu","Ambergris, Misk, Vanilya","İlkbahar,Sonbahar",Her İkisi,"Özel Davet,Gece Hayatı,Ofis","Şık,Formal","Aromatik,Odunsu",Orta,"güçlü,karizmatik,özgüvenli","Absolu Aventus, Creed'in ikonik Aventus kokusunun daha yoğun ve kalıcı versiyonudur. Güçlü ve etkileyici bir erkek parfümüdür."
C-211,Creed - Aventus,Erkek,,,250.0,165,,"Ananas, Siyah Frenk Üzümü, Bergamot","Paçuli, Yasemin, Meşe yosunu","Ambergris, Misk, Vanilya","İlkbahar,Yaz,Sonbahar",Her İkisi,"Ofis,Günlük,Özel Davet","Casual,Şık","Aromatik,Odunsu",Orta,"özgüvenli,enerjik,karizmatik","Aventus, modern erkekler için güçlü ve sofistike bir koku. Meyvemsi ve odunsu notaların mükemmel dengesiyle dikkat çeker."
C-212,Creed - Virgin island Water,Unisex,,,400.0,112,,"Kokos, Limon, Bergamot","Şeker kamışı, Beyaz Rom, Zencefil","Sakız ağacı, Beyaz misk, Vanilya",Yaz,Gündüz,"Günlük,Açık Hava,Plaj","Casual,Sportif","Narenciye,Aromatik",Hafif,"ferah,canlandırıcı,rahatlatıcı","Virgin Island Water, tropikal ve ferah notalarıyla yaz aylarında ideal bir unisex parfümdür."
C-213,Creed - Millesime Original Santal,Erkek,,,200.0,140,,"Bergamot, Deniz Notası, Yeşil Elma","Sandal ağacı, Sedir, Yasemin","Misk, Amber, Vanilya","Yaz,İlkbahar",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Formal","Odunsu,Aromatik",Orta,"ferah,temiz,rahatlatıcı","Millesime Original Santal, deniz esintisi ve odunsu notaların uyumuyla hafif ve zarif bir erkek parfümüdür."
D-110,Dolce & Gabbana - Devotion,Kadın,,,110.0,85,,"Portakal Çiçeği, Mandalina, Bergamot","Yasemin, Gardenya, Beyaz Çiçekler","Misk, Sandal ağacı, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Romantik,Açık Hava","Şık,Casual",Çiçeksi,Orta,"romantik,ferah,neşeli","Devotion, kadınlar için taze ve çiçeksi bir koku. Günlük kullanımda rahatlıkla tercih edilebilir."
D-112,Dolce & Gabbana - light blue,Kadın,,,300.0,100,,"Limon, Elma, Çam Ağacı","Beyaz Gül, Yasemin, Bambu","Sedir, Misk, Amber","Yaz,İlkbahar",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Sportif","Narenciye,Çiçeksi",Hafif,"ferah,canlandırıcı,neşeli","Light Blue, yaz ve ilkbahar ayları için ideal, taze ve narenciye ağırlıklı kadın parfümüdür."
D-113,Dolce & Gabbana - The one for men,Erkek,,,200.0,156,,"Greyfurt, Kişniş, Bazı Baharatlar","Zencefil, Yasemin, Kişniş","Tütün, Amber, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Ofis","Şık,Formal","Oryantal,Aromatik",Orta,"çekici,karizmatik,güçlü","The One for Men, sıcak baharat ve odunsu notalarıyla sofistike ve çekici bir erkek parfümüdür."
D-114,Dolce & Gabbana - The one gentleman,Erkek,,,100.0,158,,"Greyfurt, Biber, Bergamot","Zencefil, Karanfil, Tarçın","Tütün, Sedir, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Formal,Şık","Oryantal,Aromatik",Orta,"güçlü,karizmatik,zarif","The One Gentleman, klasik ve modern notaların birleşimiyle sofistike erkekler için tasarlanmıştır."
D-115,Dolce & Gabbana - The One Royal Night,Erkek,,,100.0,,,"Greyfurt, Kişniş, Mandalina","Zencefil, Tarçın, Karanfil","Tütün, Vanilya, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Aromatik",Çok Yoğun,"lüks,çekici,gizemli","The One Royal Night, zengin baharat ve odunsu notalarıyla gece kullanımı için ideal, yoğun bir erkek parfümüdür."
D-116,Dolce & Gabbana - Velvet Desert Oud,Unisex,,,100.0,,,"Sandal ağacı, Gül, Baharatlar","Oud, Amber, Misk","Vanilya, Tütün, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Odunsu",Yoğun,"lüks,gizemli,çekici","Velvet Desert Oud, zengin oud ve baharat notalarıyla unisex kullanıma uygun, sofistike bir koku."
D-120,Dunlop - Dunlop,Erkek,,,100.0,70,,"Narenciye, Baharatlar","Odunsu Notlar, Misk","Amber, Misk","İlkbahar,Sonbahar",Gündüz,"Günlük,Ofis","Casual,Sportif","Narenciye,Aromatik",Orta,"ferah,enerjik,rahat","Dunlop erkek parfümü, günlük kullanım için uygun, taze ve baharatlı notalar içerir."
D-121*,Diptyque - Olene,Kadın,,,400.0,,,"Yasemin, Portakal Çiçeği, Neroli","Gül, Misk, İris","Sandal ağacı, Amber, Vanilya","İlkbahar,Sonbahar",Her İkisi,"Özel Davet,Romantik","Şık,Formal","Çiçeksi,Pudralı",Orta,"zarif,romantik,duygusal","Olene, kadınlar için zarif ve pudralı çiçeksi notalarla sofistike bir parfümdür."
D-122*,Diptyque - Ofresia,Kadın,,,400.0,,,"Frezya, Narenciye, Yeşil Notlar","Beyaz Çiçekler, Yasemin, Sümbül","Misk, Amber, Sandal Ağacı","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Şık",Çiçeksi,Hafif,"ferah, zarif, taze, neşeli","Ofresia, ferah ve zarif frezya notalarıyla taze bir çiçeksi koku sunar. Günlük kullanım için ideal, hafif ve neşeli bir parfümdür."
D-123*,Diptyque - Oyedo,Unisex,,,400.0,,,"Narenciye, Bergamot, Yeşil Notlar","Çay, Yasemin, Lavanta","Misk, Amber, Sedir","İlkbahar, Yaz",Her İkisi,"Günlük, Ofis, Açık Hava","Casual, Bohem","Aromatik, Taze",Orta,"canlı, ferah, rahatlatıcı, doğal","Oyedo, narenciye ve yeşil notaların canlı birleşimi ile ferah ve rahatlatıcı bir unisex koku. Günlük kullanıma uygun, doğal ve dengeli bir parfümdür."
D-124*,Diptyque - Philosykos,Unisex,,,400.0,,,"İncir Yaprağı, Narenciye","İncir Ağacı, Yasemin","Sedir, Beyaz Misk, Odunsu Notlar","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Bohem","Odunsu, Taze",Orta,"doğal, ferah, huzurlu, sıcak","Philosykos, incir ağacının taze ve odunsu notalarını yansıtan doğal ve huzurlu bir unisex parfüm. Yaz ve ilkbahar için ideal, ferah bir seçenektir."
E-101,Elie Saab - Elie Saab Le Parfum,Kadın,,,100.0,,,"Portakal Çiçeği, Bergamot","Yasemin, Ardıç, Misk","Paçuli, Sedir, Amber","Sonbahar, Kış",Gece,"Özel Davet, Romantik, Gece Hayatı","Şık, Formal","Çiçeksi, Oryantal",Orta,"çekici, sofistike, sıcak, zarif","Elie Saab Le Parfum, çiçeksi ve oryantal notaların sofistike birleşimiyle özel anlar için ideal, çekici ve zarif bir kadın parfümüdür."
E-110,Essential parfums - Bois İmperial,Unisex,,,200.0,170,,"Bergamot, Tarçın","Sedir, Paçuli, Gül","Vetiver, Amber, Misk","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı, Ofis","Formal, Şık","Odunsu, Oryantal",Yoğun,"güçlü, etkileyici, sofistike, karizmatik","Bois Imperial, odunsu ve baharatlı notaların yoğun birleşimiyle güçlü ve sofistike bir unisex parfümdür. Gece ve özel davetler için uygundur."
E-130,Estee Lauder - Modern Muse Le Rouge,Kadın,,,100.0,142,,"Narenciye, Mandalina","Yasemin, Şakayık","Paçuli, Misk","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Şık","Çiçeksi, Narenciye",Orta,"canlı, enerjik, feminen, taze","Modern Muse Le Rouge, enerjik narenciye ve çiçeksi notalarla canlı ve feminen bir kadın parfümüdür. Günlük kullanım için uygundur."
E-131,Estee Lauder - Modern Muse Nuit,Kadın,,,50.0,110,,"Yaban Mersini, Bergamot","Paçuli, Yasemin","Vanilya, Misk, Amber","Sonbahar, Kış",Gece,"Gece Hayatı, Özel Davet, Romantik","Şık, Formal","Oryantal, Çiçeksi",Yoğun,"çekici, gizemli, sıcak, sofistike","Modern Muse Nuit, oryantal ve çiçeksi notalarla gizemli ve çekici bir gece parfümüdür. Romantik ve özel anlar için uygundur."
E-132,Estee Lauder - Modern Muse,Kadın,,,100.0,262,,"Narenciye, Mandalina","Yasemin, Şakayık","Paçuli, Misk","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Şık","Çiçeksi, Narenciye",Orta,"canlı, enerjik, feminen, taze","Modern Muse, taze narenciye ve çiçeksi notalarla enerjik ve feminen bir kadın parfümüdür. Günlük kullanım için idealdir."
E-151,Ex nihilo- Fleur narcotique,Unisex,,,200.0,158,,"Narenciye, Şeftali","Yasemin, Şakayık","Misk, Amber, Paçuli","İlkbahar, Yaz",Her İkisi,"Günlük, Özel Davet, Romantik","Şık, Casual","Çiçeksi, Meyvemsi",Orta,"çekici, taze, neşeli, zarif","Fleur Narcotique, meyvemsi ve çiçeksi notaların zarif birleşimiyle taze ve çekici bir unisex parfümdür. Hem gündüz hem gece kullanıma uygundur."
E-152,EX nihilo- Fleur narcotique Extrait,Unisex,,,0.0,150,,"Narenciye, Şeftali","Yasemin, Şakayık","Misk, Amber, Paçuli","İlkbahar, Yaz",Gece,"Özel Davet, Romantik, Gece Hayatı","Şık, Formal","Çiçeksi, Meyvemsi",Çok Yoğun,"çekici, sofistike, yoğun, baştan çıkarıcı","Fleur Narcotique Extrait, yoğun ve sofistike çiçeksi-meyvemsi notalarla özel gece kullanımı için ideal bir unisex parfümdür."
E-153,Ex Nihilio - Blue Talisman,Unisex,,,100.0,185,,"Bergamot, Tarçın","Paçuli, Misk","Vetiver, Amber, Vanilya","Sonbahar, Kış",Gece,"Gece Hayatı, Özel Davet","Şık, Formal","Odunsu, Oryantal",Yoğun,"gizemli, etkileyici, karizmatik, sıcak","Blue Talisman, odunsu ve oryantal notaların gizemli ve etkileyici birleşimiyle gece için ideal unisex bir parfümdür."
E-154,Ex Nihilo - Devil Tender,Kadın,,,100.0,,,"Narenciye, Şeftali","Yasemin, Gül","Misk, Amber, Vanilya","İlkbahar, Sonbahar",Gece,"Romantik, Özel Davet","Şık, Formal","Çiçeksi, Oryantal",Orta,"romantik, sıcak, zarif, feminen","Devil Tender, çiçeksi ve oryantal notaların sıcak ve romantik birleşimiyle kadınlar için özel davetlerde tercih edilen bir parfümdür."
E-155,Ex Nihilo - Midnight Special,Unisex,,,100.0,,,"Narenciye, Baharat","Paçuli, Misk","Amber, Vetiver, Odunsu Notlar","Sonbahar, Kış",Gece,"Gece Hayatı, Özel Davet","Şık, Formal","Odunsu, Oryantal",Yoğun,"gizemli, sofistike, karizmatik, etkileyici","Midnight Special, odunsu ve baharatlı notalarla gizemli ve sofistike bir unisex gece parfümüdür."
F-101,Flamenco - Ramon Monegal,Unisex,,,200.0,100,,"Narenciye, Baharat","Gül, Yasemin","Misk, Amber, Sedir","İlkbahar, Sonbahar",Her İkisi,"Günlük, Özel Davet","Bohem, Şık","Çiçeksi, Oryantal",Orta,"zarif, sıcak, rahat, özgün","Flamenco, çiçeksi ve oryantal notaların özgün ve zarif birleşimiyle hem günlük hem özel anlar için uygun unisex bir parfümdür."
F-110,Frederic - Malle carnal flower,Unisex,,,200.0,75,,"Yasemin, Gardenya","Tuberose, İris","Misk, Sandal Ağacı, Amber","İlkbahar, Yaz",Gündüz,"Günlük, Romantik, Ofis","Şık, Klasik","Çiçeksi, Pudralı",Orta,"zarif, feminen, romantik, sofistike","Carnal Flower, zengin çiçeksi ve pudralı notalarla zarif ve feminen bir unisex parfümdür. Günlük ve romantik ortamlarda tercih edilir."
F-111,Frederic - Malle musc ravageur,Unisex,,,300.0,62,,"Tarçın, Hindistan Cevizi, Şeftali","Misk, Amber, Ylang Ylang","Vanilya, Sandal Ağacı, Paçuli","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal",Oryantal,Çok Yoğun,"Çekici,Sıcak,Yoğun,Çarpıcı","Musc Ravageur, sıcak ve baştan çıkarıcı oryantal bir koku. Yoğun misk ve baharat notalarıyla kalıcı bir etki bırakır."
F-112,Frederic Malle - Portrait Of a Lady,Kadın,,,200.0,,,"Frambuaz, Karanfil, Tarçın","Gül, Yasemin, Şakayık","Paçuli, Sandal Ağacı, Amber","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Çiçeksi,Oryantal",Yoğun,"Zarif,Çekici,Romantik,Kalıcı","Portrait Of a Lady, zengin gül ve baharat notalarıyla sofistike ve etkileyici bir kadın kokusu."
F-113*,Frederic Malle - Lys Mediterranee,Unisex,,,200.0,,,"Bergamot, Limon, Mandalina","Zambak, Yasemin, Sardunya","Sedir, Misk, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Şık","Narenciye,Çiçeksi",Orta,"Ferah,Canlandırıcı,Doğal,Neşeli","Lys Mediterranee, Akdeniz esintilerini taşıyan taze ve çiçeksi bir unisex parfüm."
F-120,Franck Boclet - Cocaine,Unisex,,,100.0,100,,"Bergamot, Greyfurt","Karanfil, Tarçın, Yasemin","Misk, Amber, Vanilya","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Oryantal,Aromatik",Yoğun,"Çarpıcı,Çekici,Yoğun,Asil","Cocaine, güçlü ve baş döndürücü oryantal aromatik notalarıyla dikkat çeken unisex bir parfüm."
G-110,Givenchy - İntense ultramarine,Erkek,,,200.0,150,,"Bergamot, Lavanta, Nane","Sedir, Paçuli, Sardunya","Misk, Amber, Tonka Fasulyesi","İlkbahar,Sonbahar","Gündüz,Gece","Ofis,Günlük","Casual,Formal","Aromatik,Odunsu",Orta,"Ferah,Erkeksi,Modern,Canlı","İntense Ultramarine, taze ve aromatik notalarıyla enerjik ve modern erkekler için ideal."
G-111,Givenchy - L'Interdit,Kadın,,,170.0,150,,"Portakal Çiçeği, Bergamot","Yasemin, Sümbülteber, Tuberose","Paçuli, Vanilya, Amber","İlkbahar,Sonbahar","Gündüz,Gece","Özel Davet,Romantik,Ofis","Şık,Formal","Çiçeksi,Oryantal",Orta,"Zarif,Büyüleyici,Şık,Çekici","L'Interdit, klasik ve modern çiçeksi notaların harmanlandığı sofistike bir kadın parfümü."
G-112,Givenchy--Gentlemen Only Absolute,Erkek,,,0.0,86,,"Bergamot, Tarçın","Paçuli, Sedir","Vanilya, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Formal,Şık","Odunsu,Oryantal",Yoğun,"Asil,Erkeksi,Yoğun,Çekici","Gentlemen Only Absolute, derin ve sıcak odunsu notalarla erkekler için güçlü bir imza kokusu."
G-113,Givenchy - Gentleman Reserve Privee,Erkek,,,200.0,,,"Bergamot, Greyfurt","Sedir, Paçuli","Misk, Amber, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Formal,Şık","Odunsu,Oryantal",Orta,"Zarif,Erkeksi,Asil,Çekici","Gentleman Reserve Privee, sofistike ve zengin odunsu notalarla erkekler için özel bir koku."
G-114,Givenchy - Gentleman,Erkek,,,200.0,,,"Biber, Kişniş, Lavanta","Sedir, Paçuli, Vetiver","Tonka Fasulyesi, Amber","İlkbahar,Sonbahar","Gündüz,Gece","Ofis,Günlük","Casual,Formal","Aromatik,Odunsu",Orta,"Modern,Erkeksi,Canlı,Şık","Gentleman, modern erkekler için taze ve odunsu aromatik bir koku sunar."
G-130,Gucci - Flora Gorgeous Jasmin,Kadın,,,200.0,85,,"Bergamot, Mandalina","Jasmin, Portakal Çiçeği","Misk, Sandal Ağacı","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Şık","Çiçeksi,Narenciye",Hafif,"Neşeli,Canlandırıcı,Ferah,Genç","Flora Gorgeous Jasmin, taze narenciye ve yasemin notalarıyla enerjik ve feminen bir koku."
G-131,Gucci - Guilty Black Pour Homme,Erkek,,,50.0,90,,"Limon, Lavanta, Narenciye","Kekik, Sardunya","Paçuli, Amber","İlkbahar,Sonbahar","Gündüz,Gece","Ofis,Günlük,Gece Hayatı","Casual,Formal","Aromatik,Odunsu",Orta,"Çekici,Modern,Erkeksi,Dinamik","Guilty Black Pour Homme, cesur ve sofistike odunsu aromatik bir erkek parfümüdür."
G-133,Gucci - Guilty Intense Pour Femme,Kadın,,,90.0,135,,"Armut, Mandalina, Yasemin","Şakayık, İris","Paçuli, Amber","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Çiçeksi,Oryantal",Yoğun,"Zarif,Romantik,Çekici,Yoğun","Guilty Intense Pour Femme, yoğun çiçeksi ve oryantal notalarla baştan çıkarıcı bir kadın kokusu."
G-135,Gucci - Guilty Oud,Erkek,,,0.0,135,,"Bergamot, Ardıç","Oud, Paçuli","Amber, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Odunsu,Oryantal",Çok Yoğun,"Gizemli,Asil,Yoğun,Çekici","Guilty Oud, zengin oud ve odunsu notalarla güçlü ve gizemli bir erkek parfümüdür."
G-136,Gucci - Guilty Pour Femme,Kadın,,,90.0,135,,"Bergamot, Mandalina","Frezya, Yasemin","Paçuli, Misk","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Şık","Çiçeksi,Narenciye",Orta,"Ferah,Neşeli,Genç,Canlı","Guilty Pour Femme, taze ve çiçeksi notalarla günlük kullanıma uygun hafif bir kadın kokusu."
G-137,Gucci - Rush,Kadın,,,0.0,92,,"Narenciye, Frezya","Yasemin, Misk","Paçuli, Amber","Yaz,İlkbahar","Gündüz,Gece","Günlük,Gece Hayatı,Romantik","Casual,Şık","Çiçeksi,Odunsu",Orta,"Enerjik,Çekici,Genç,Canlandırıcı","Rush, dinamik ve enerjik çiçeksi odunsu notalarıyla dikkat çeken ikonik bir kadın parfümü."
G-138,Gucci - Bloom Ambrosia Di Fiori,Kadın,,,90.0,235,,"Jasmine, Tuberose, Rangoon Creeper","Jasmine bud, Tuberose, Rangoon Creeper","Oud, Musk","İlkbahar, Yaz","Gündüz, Gece","Özel Davet, Romantik, Günlük","Şık, Casual",Çiçeksi,Orta,"zarif, feminen, taze, sofistike","Gucci Bloom Ambrosia Di Fiori, zengin çiçeksi notalarıyla feminen ve sofistike bir koku sunar. İlkbahar ve yaz aylarında özel anlar için idealdir."
G-139,Gucci - Guilty Elixir For Her,Kadın,,,90.0,120,,"Yaban mersini, Mandalina, Bergamot","Yasemin, Gül, Şakayık","Paçuli, Amber, Vanilya","Sonbahar, Kış",Gece,"Gece Hayatı, Özel Davet, Romantik","Şık, Formal","Oryantal, Çiçeksi",Yoğun,"çekici, gizemli, tutkulu, sofistike","Gucci Guilty Elixir For Her, derin ve baştan çıkarıcı notalarıyla gece hayatı ve özel davetler için mükemmeldir. Yoğun ve kalıcı bir koku deneyimi sunar."
G-140,Gucci - Bloom Eau de Parfum,Kadın,,,0.0,115,,"Jasmine, Tuberose, Rangoon Creeper","Yasemin, Tuberose, Rangoon Creeper","Sandal Ağacı, Musk","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Şık",Çiçeksi,Orta,"ferah, zarif, doğal, taze","Gucci Bloom Eau de Parfum, doğal ve taze çiçeksi notalarıyla günlük kullanım için idealdir. Hafif ve ferah bir koku sunar."
G-141,Gucci - Guilty Absolute Pour Homme,Erkek,,,100.0,,,"Paçuli, Deri, Odunsu notalar","Paçuli, Deri, Odunsu notalar","Vetiver, Amber, Odunsu notalar","Sonbahar, Kış",Gece,"Gece Hayatı, Özel Davet","Formal, Şık","Deri, Odunsu",Çok Yoğun,"güçlü, karizmatik, maskülen, sofistike","Gucci Guilty Absolute Pour Homme, deri ve odunsu notaların baskın olduğu güçlü ve karizmatik bir erkek kokusudur. Gece kullanımı için uygundur."
G-142,Gucci- Flora Gorgeus Gardenia,Kadın,,,200.0,,,"Gardenya, Mandalina, Bergamot","Gardenya, Yasemin, Frezya","Sandal Ağacı, Vanilya","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Şık",Çiçeksi,Orta,"ferah, neşeli, zarif, doğal","Gucci Flora Gorgeous Gardenia, taze ve çiçeksi notalarıyla günlük kullanım için ideal, neşeli ve zarif bir kokudur."
G-151,Guerlain – Angelique Noire,Unisex,,,0.0,120,,"Bergamot, Anason, Karanfil","Yasemin, Gül, Tarçın","Vanilya, Tonka Fasulyesi, Paçuli","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Formal","Oryantal, Çiçeksi",Yoğun,"gizemli, çekici, sıcak, sofistike","Guerlain Angelique Noire, oryantal ve çiçeksi notaların birleşimiyle gizemli ve çekici bir unisex kokudur. Gece kullanımı için uygundur."
G-152,Guerlain – Habit rouge,Erkek,,,90.0,148,,"Bergamot, Limone, Neroli","Tarçın, Sardunya, Yasemin","Vanilya, Deri, Sedir Ağacı","Sonbahar, Kış","Gündüz, Gece","Ofis, Özel Davet","Formal, Klasik","Narenciye, Deri",Orta,"klasik, maskülen, sofistike, güvenilir","Guerlain Habit Rouge, klasik deri ve narenciye notalarıyla maskülen ve sofistike bir erkek kokusudur. Hem gündüz hem gece kullanıma uygundur."
G-153,Guerlain - L'Homme Ideal,Erkek,,,90.0,140,,"Badem, Limon, Lavanta","Gül, Yasemin, İris","Sedir, Tonka Fasulyesi, Vetiver","İlkbahar, Sonbahar",Gündüz,"Ofis, Günlük","Casual, Formal","Aromatik, Odunsu",Orta,"ferah, zarif, modern, rahat","Guerlain L'Homme Ideal, badem ve odunsu notaların dengesiyle modern ve zarif bir erkek kokusudur. Günlük kullanım için uygundur."
G-154,Guerlain - Mon florale,Kadın,,,0.0,148,,"Bergamot, Mandalina, Yeşil Notlar","Gül, Yasemin, Frezya","Misk, Sedir, Amber","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Şık","Çiçeksi, Taze",Hafif,"ferah, neşeli, zarif, genç","Guerlain Mon Florale, taze ve çiçeksi notalarıyla hafif ve ferah bir kadın kokusudur. Günlük kullanım için idealdir."
G-155,Guerlain - Shalimar,Kadın,,,90.0,170,,"Bergamot, Limon, Mandalina","İris, Yasemin, Gül","Vanilya, Tonka Fasulyesi, Amber","Sonbahar, Kış",Gece,"Özel Davet, Romantik","Şık, Klasik","Oryantal, Pudralı",Yoğun,"klasik, romantik, sofistike, sıcak","Guerlain Shalimar, klasik oryantal ve pudralı notalarıyla zamansız ve romantik bir kadın kokusudur. Gece kullanımı için uygundur."
G-156,Guerlain- Mon Guerlain,Kadın,,,200.0,92,,"Lavanta, Bergamot, Mandalina","Jasmine, Vanilya, Yasemin","Sedir, Sandal Ağacı, Tonka Fasulyesi","İlkbahar, Sonbahar","Gündüz, Gece","Günlük, Ofis, Özel Davet","Şık, Casual","Çiçeksi, Aromatik",Orta,"zarif, modern, feminen, rahat","Guerlain Mon Guerlain, lavanta ve vanilya notalarıyla modern ve zarif bir kadın kokusudur. Hem gündüz hem gece kullanıma uygundur."
G-157,Guerlain - Tobacco Honey,Unisex,,,200.0,,,"Tütün, Bal, Baharatlar","Tütün, Bal, Baharatlar","Odunsu notalar, Amber","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Formal, Şık","Gourmand, Oryantal",Yoğun,"sıcak, çekici, sofistike, gizemli","Guerlain Tobacco Honey, tütün ve bal notalarının birleşimiyle sıcak ve çekici bir unisex kokudur. Gece kullanımı için uygundur."
G-160,Gısada Ambassador,Erkek,,,200.0,,,"Narenciye, Baharatlar","Odunsu notalar, Deri","Misk, Amber","Sonbahar, Kış","Gündüz, Gece","Ofis, Özel Davet","Formal, Klasik","Odunsu, Deri",Orta,"güçlü, karizmatik, maskülen, sofistike","Gısada Ambassador, odunsu ve deri notalarıyla güçlü ve karizmatik bir erkek kokusudur. Hem gündüz hem gece kullanıma uygundur."
H-101,Hayati Attar - Hayati,Unisex,,,200.0,55,,"Narenciye, Baharatlar","Çiçeksi notalar, Odunsu notalar","Misk, Amber","İlkbahar, Sonbahar",Her İkisi,"Günlük, Ofis, Açık Hava","Casual, Bohem","Aromatik, Odunsu",Orta,"doğal, rahat, özgür, ferah","Hayati Attar Hayati, doğal ve ferah aromatik notalarıyla günlük ve rahat kullanıma uygun unisex bir kokudur."
H-111,Hermes - H24,Erkek,,,0.0,120,,"Sedir, İris, Sardunya","Sedir, İris, Sardunya","Hedione, Metalik Notlar","İlkbahar, Yaz",Gündüz,"Ofis, Günlük, Açık Hava","Casual, Formal","Odunsu, Aromatik",Orta,"modern, ferah, enerjik, sofistike","Hermes H24, modern ve ferah odunsu aromatik notalarıyla gündüz kullanımı için ideal bir erkek kokusudur."
H-112,Hermes - Hermes un de jardin sur le nil,Unisex,,,400.0,165,,"Greyfurt, Yeşil Mango, Nil Zambak","Lotus, Sümbülteber, Nil Zambak","Sedir, Beyaz Misk, İnci Notası","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Bohem","Narenciye,Yeşil",Hafif,"ferahlatıcı,doğal,canlandırıcı","Nil Nehri'nin esintisini taşıyan ferah ve hafif bir unisex parfüm. Günlük kullanıma uygun, doğadan ilham alan taze notalar içerir."
H-113,Hermes - Terre dhermes,Erkek,,,400.0,120,,"Portakal, Greyfurt, Biber","Paçuli, Sedir, Zencefil","Vetiver, Taban Ağacı, Benzoin","Sonbahar,Kış","Gündüz,Gece","Ofis,Özel Davet","Klasik,Formal","Odunsu,Aromatik",Orta,"güçlü,zarif,maskülen",Toprak ve narenciye notalarının mükemmel uyumu ile sofistike ve erkeksi bir koku. Hem gündüz hem gece kullanıma uygundur.
H-102,Hermes - Elixir Des Merveilles,Kadın,,,100.0,,,"Portakal Çiçeği, Mandalina, Bergamot","Vanilya, Amber, Tarçın","Paçuli, Sedir, Misk","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Oryantal,Gourmand",Yoğun,"çekici,baş döndürücü,lüks","Sıcak ve tatlı oryantal notalarla dolu, kadınsı ve baştan çıkarıcı bir parfüm. Gece kullanımı için idealdir."
H-114,Hermes - Le Jardin de Monsieur Li,Unisex,,,200.0,,,"Bergamot, Yeşil Çay, Mandalina","Zencefil, Yasemin, Fesleğen","Sedir, Beyaz Misk","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Bohem","Narenciye,Aromatik",Hafif,"ferahlatıcı,enerjik,doğal","Doğadan ilham alan taze ve hafif unisex koku. Günlük kullanım için ideal, enerji verici notalar içerir."
